frame,u,v,conf,cls,w_px,h_px,angle_deg,colour_b,colour_g,colour_r
106,853.4942016601562,579.4762573242188,0.607917308807373,10,22.82933807373047,51.744407653808594,2.9472757188451615,39.0,30.5,28.0
107,852.7471923828125,592.198974609375,0.5547293424606323,10,23.634490966796875,50.921592712402344,2.940559508456923,40.0,31.0,29.0
108,852.9058837890625,604.187255859375,0.5701469779014587,10,22.77631950378418,50.4177131652832,3.314942240546009,39.0,31.0,28.0
109,852.5564880371094,616.560791015625,0.2805301249027252,10,22.082399368286133,51.11248016357422,3.287497900130663,38.5,30.5,28.0
110,851.5123901367188,629.4839477539062,0.7321327328681946,10,22.989805221557617,51.34065246582031,2.718193521960461,37.0,29.0,28.0
111,850.8858947753906,642.0319213867188,0.7811221480369568,10,23.232177734375,52.28780746459961,3.144718558503659,37.0,29.0,30.0
112,850.2096252441406,655.6687316894531,0.745300829410553,10,23.259418487548828,50.43621063232422,2.908056559187537,38.0,31.0,31.0
112,851.3978881835938,635.4268798828125,0.33479225635528564,10,22.814064025878906,12.103203773498535,3.7259693644190364,39.0,31.0,81.0
113,849.7585144042969,668.3047637939453,0.7489497065544128,10,24.063125610351562,51.12525939941406,2.656599302912109,37.0,31.0,31.0
114,849.1793823242188,681.2903900146484,0.7711624503135681,10,23.86412811279297,51.997657775878906,2.110142120959011,38.0,31.0,30.0
115,848.8127746582031,694.9383392333984,0.7771568894386292,10,24.411624908447266,51.363441467285156,2.4970561157409548,38.0,33.0,33.0
116,848.7938537597656,708.2957153320312,0.7462590932846069,10,23.404943466186523,50.706485748291016,3.4369827799753274,41.0,34.0,34.0
117,848.0645751953125,721.3790588378906,0.703058660030365,10,23.078033447265625,52.116355895996094,3.0711561404821524,40.0,34.0,33.5
118,847.0748901367188,734.0106811523438,0.6310655474662781,10,23.229555130004883,51.42579650878906,2.1322651036806826,38.0,32.0,32.0
119,846.8452453613281,746.7321166992188,0.758375346660614,10,22.82563591003418,52.887428283691406,2.2803282369609263,37.0,31.0,31.0
120,846.5759582519531,760.9424438476562,0.7286174893379211,10,24.0091495513916,52.246368408203125,3.3735108992354568,38.0,33.0,32.0
121,845.89599609375,773.710693359375,0.7068153023719788,10,23.176280975341797,52.51148986816406,2.7422744210963987,33.0,32.0,33.0
122,845.1462707519531,788.3414001464844,0.5244558453559875,10,22.738262176513672,51.75651931762695,1.8249268681542072,38.0,33.0,35.0
123,845.2532653808594,802.46240234375,0.6050429344177246,10,22.392688751220703,50.939186096191406,1.7701346637455417,38.5,34.0,34.0
124,844.4715270996094,816.4404602050781,0.4975549876689911,9,22.41143035888672,50.58806610107422,2.957907975505344,38.0,33.5,34.0
125,843.9693298339844,830.5648193359375,0.4526583254337311,10,22.720203399658203,51.53326416015625,2.7050347356376085,40.0,34.0,38.0
126,843.4888000488281,844.360595703125,0.6084809303283691,10,22.485279083251953,51.62079620361328,2.0278090997129734,41.0,34.5,39.0
127,843.8320007324219,857.8300170898438,0.6738315224647522,10,22.798828125,51.83537673950195,2.0698017430604465,41.0,35.0,39.0
128,843.1519165039062,872.3197326660156,0.4994618594646454,10,22.299484252929688,51.51129150390625,2.097460594104413,42.0,35.0,38.0
129,842.3125,886.6099548339844,0.7338271737098694,10,21.86196517944336,50.41553497314453,2.2891795217950284,41.0,34.0,35.0
130,841.7175903320312,900.3678588867188,0.6938648819923401,10,22.530101776123047,50.329505920410156,1.9738698151769134,40.0,34.0,36.0
131,840.9138793945312,915.1467895507812,0.5590751767158508,10,23.438304901123047,51.961875915527344,1.078462644117801,40.0,36.0,33.0
132,840.1240234375,929.8729553222656,0.6038097739219666,10,22.81656265258789,51.59712219238281,2.6812434792111612,39.0,34.0,33.0
133,840.0463562011719,944.3931884765625,0.5690740346908569,10,22.038986206054688,51.376914978027344,3.684282585480333,38.0,35.0,30.0
134,839.5872192382812,959.3353271484375,0.4002053439617157,10,21.719928741455078,49.5949821472168,3.64116872389192,39.0,35.0,34.5
135,839.0368041992188,974.4212036132812,0.34523048996925354,10,22.057043075561523,48.14051055908203,4.222269265645557,40.0,35.5,36.5
136,838.3787231445312,988.5248413085938,0.27806368470191956,10,21.994468688964844,49.31568908691406,2.3320682005842426,36.0,32.0,34.5
140,836.4186096191406,1046.9307861328125,0.31543585658073425,10,22.487775802612305,51.311988830566406,3.1144791766138966,38.0,34.0,37.0
310,930.4917297363281,33.08351516723633,0.44549065828323364,10,25.407283782958984,65.97054290771484,4.754542919456889,56.0,39.0,31.0
311,929.9113464355469,45.975711822509766,0.47348010540008545,10,25.144840240478516,64.835205078125,5.941559787766113,54.0,38.0,30.0
312,929.22216796875,59.82963562011719,0.4945645034313202,10,25.67149543762207,65.51832580566406,5.992929640513778,55.0,39.0,30.0
313,928.7056884765625,73.53071594238281,0.4505779445171356,10,25.762664794921875,65.33631134033203,5.675275471463057,54.0,38.0,30.0
314,928.1188659667969,87.7826919555664,0.42695170640945435,10,25.15097427368164,63.71222686767578,6.057839062630525,55.0,39.0,30.0
315,927.6669006347656,101.7440414428711,0.41717690229415894,10,24.535104751586914,62.84947204589844,6.498633004680115,56.0,39.0,31.0
316,926.7036437988281,115.51952362060547,0.4450068175792694,10,26.196813583374023,63.56974792480469,5.328637394669386,55.0,39.0,31.0
317,925.9166564941406,128.5844268798828,0.41323941946029663,10,25.614694595336914,64.09112548828125,5.402537907054808,55.0,39.0,30.5
318,925.7398071289062,142.547119140625,0.30391716957092285,10,25.408103942871094,63.730403900146484,5.644725315966059,52.5,39.5,31.0
319,925.0279846191406,156.71749877929688,0.38070541620254517,10,25.737455368041992,63.98875427246094,5.946028439030593,51.5,39.0,31.0
320,924.4048767089844,170.307861328125,0.37013867497444153,10,25.578908920288086,64.02162170410156,5.664535852766858,53.0,40.0,31.0
321,924.0171813964844,183.61607360839844,0.33305588364601135,10,25.481971740722656,63.854164123535156,5.385157210051242,54.5,40.0,32.0
322,922.9910888671875,197.1465606689453,0.3677828013896942,10,24.779373168945312,63.46959686279297,5.711351249998595,51.0,39.0,31.0
323,922.8193969726562,211.294189453125,0.46305060386657715,10,25.17382049560547,63.837806701660156,4.998039163367844,53.0,39.0,31.0
324,922.3335876464844,224.72396850585938,0.5935648679733276,10,26.14212989807129,63.777313232421875,5.4442673746758246,52.0,39.0,31.0
325,921.969482421875,238.2413787841797,0.5670579075813293,10,25.430906295776367,63.17620086669922,5.990193722864365,51.0,38.0,30.0
326,921.5148315429688,252.00634765625,0.6588853597640991,10,25.775653839111328,63.23762512207031,6.279330571469814,57.0,38.0,30.0
327,920.8985900878906,265.52337646484375,0.6580714583396912,10,25.558582305908203,62.98125457763672,5.917838540778658,50.5,37.0,28.0
328,920.5874938964844,279.2218322753906,0.6399246454238892,10,25.839805603027344,62.358055114746094,5.488035653764089,52.5,35.5,26.0
329,920.0321044921875,293.3589782714844,0.40257924795150757,10,24.441497802734375,62.80018615722656,5.958114458766931,50.0,34.0,25.0
330,919.1548461914062,306.5013122558594,0.4383789896965027,10,25.212154388427734,62.31731414794922,4.801728427564276,48.0,34.0,28.0
331,918.9479675292969,319.4853210449219,0.5194669961929321,10,24.042652130126953,60.38692855834961,4.943836916548738,45.0,30.0,25.0
332,918.6636047363281,333.5333251953125,0.35397258400917053,10,24.034095764160156,59.924407958984375,5.51708402141733,48.0,32.0,27.0
333,917.9834899902344,346.9819641113281,0.688479483127594,10,25.375646591186523,61.02836608886719,5.438441650200627,44.0,32.0,27.0
334,917.7369079589844,360.4947814941406,0.6447425484657288,10,25.20987892150879,61.569671630859375,4.882360945150392,43.0,32.0,26.0
335,917.3491821289062,374.0059509277344,0.5458983182907104,10,25.411319732666016,61.71769714355469,4.325909702337684,45.0,33.0,27.5
336,916.6866760253906,387.4876403808594,0.47880205512046814,10,25.51142120361328,61.22782897949219,4.032620952490514,44.5,33.0,27.5
337,916.4668884277344,400.6067199707031,0.5969210267066956,10,25.652416229248047,61.46021270751953,4.074694064004146,44.0,33.0,28.0
338,915.7608947753906,413.98822021484375,0.6463189721107483,10,25.59583282470703,60.38429260253906,3.929092787032869,44.0,33.0,28.0
339,915.4087829589844,427.5148010253906,0.7030746340751648,10,25.2336368560791,60.24216079711914,4.097202952413923,44.0,33.0,28.5
339,914.3006286621094,448.4446601867676,0.38619154691696167,10,24.982219696044922,18.186176300048828,3.4429641046975545,235.0,229.5,219.0
340,915.383056640625,441.4599914550781,0.7092512249946594,10,24.333051681518555,59.185813903808594,5.016841393492419,44.0,32.0,28.0
340,955.302490234375,10.48478889465332,0.4714806377887726,10,27.131637573242188,21.58879852294922,3.5813605993115263,220.0,219.0,213.0
341,915.1310424804688,454.73101806640625,0.6947686076164246,10,24.533538818359375,60.16836166381836,4.850571110319037,45.0,33.0,30.0
341,955.6459655761719,17.893108367919922,0.538421094417572,9,26.55617332458496,34.019432067871094,3.9243509282015876,121.0,120.0,107.0
342,914.6049499511719,468.5064582824707,0.7521328330039978,10,24.300525665283203,57.52959442138672,4.855930247496558,47.0,36.0,31.0
342,955.8766174316406,24.525272369384766,0.6292581558227539,10,26.279895782470703,47.3579216003418,4.78715835340417,227.0,235.5,228.0
343,914.0263061523438,481.1513977050781,0.8082795143127441,10,25.942378997802734,59.17395782470703,5.237120543754031,47.0,36.0,31.0
343,955.8394165039062,30.574665069580078,0.630922794342041,9,25.78980255126953,61.611488342285156,3.9623579427249465,236.0,239.0,233.0
344,955.7090454101562,38.135345458984375,0.7892391085624695,9,25.33846092224121,74.12844848632812,4.702325696365318,228.0,229.0,225.0
344,913.4134521484375,494.45526123046875,0.7735229134559631,10,25.761314392089844,59.368568420410156,5.188615528476363,48.0,36.0,31.0
345,955.6089477539062,45.47595977783203,0.844983696937561,9,25.404739379882812,88.36459350585938,4.595621919830441,218.0,224.0,220.5
345,913.3658447265625,507.6893005371094,0.7880297899246216,10,25.968795776367188,59.2862663269043,5.088853358572333,48.0,36.0,30.0
346,955.4844360351562,57.25816345214844,0.8200587630271912,9,26.29012680053711,92.17918395996094,5.43439689755151,221.5,224.0,219.5
346,912.9597473144531,520.9887084960938,0.7925765514373779,10,25.410688400268555,58.748687744140625,4.670675453525126,46.0,33.0,28.0
347,954.4047241210938,70.37769317626953,0.7543617486953735,9,26.175369262695312,91.68769836425781,5.109887353008211,222.0,225.0,221.0
347,912.5746765136719,534.2356567382812,0.7414733171463013,10,24.893577575683594,58.69495391845703,4.1750406419690345,46.0,35.0,28.5
348,954.2736206054688,83.67342376708984,0.8269174695014954,9,26.65833282470703,92.55860900878906,5.144487810683026,221.0,223.0,219.5
348,912.0754089355469,547.3624267578125,0.7080181837081909,10,25.559364318847656,59.0112419128418,4.354083805777164,47.5,35.0,30.0
349,911.6656494140625,560.9869079589844,0.7399190068244934,10,24.676576614379883,58.331787109375,4.44008613271138,48.0,36.0,30.0
349,953.4759216308594,97.03890991210938,0.5729180574417114,9,26.382183074951172,90.97544860839844,4.99858088274639,220.0,223.0,219.0
350,952.88671875,111.58641052246094,0.8251282572746277,9,26.49309730529785,91.91133117675781,5.600860133568944,223.0,224.0,220.0
350,910.8388977050781,574.1019897460938,0.6790286302566528,10,24.85676383972168,58.16713333129883,4.433696917629656,47.0,35.0,30.0
351,952.2787780761719,125.07435607910156,0.8257498741149902,9,26.059823989868164,91.9770736694336,5.332472972775172,222.0,223.0,215.0
351,910.3605346679688,587.2186889648438,0.7510914206504822,10,25.249481201171875,58.239723205566406,4.664817712538193,49.0,37.0,30.5
352,951.23876953125,138.60757446289062,0.7755126357078552,9,25.956212997436523,91.98490905761719,4.781311284587815,222.0,223.5,216.5
352,909.8320007324219,600.4010009765625,0.7301989197731018,10,25.247753143310547,58.18893814086914,5.0602771277454694,48.0,36.0,30.0
353,950.6099853515625,152.73167419433594,0.7779947519302368,9,26.379169464111328,90.07496643066406,4.867356727091167,220.5,223.0,217.0
353,909.1968078613281,613.3023986816406,0.699783205986023,10,25.234655380249023,58.0101318359375,4.639755187152478,48.0,37.0,30.5
354,908.3344421386719,626.7287902832031,0.7209202647209167,10,25.55663299560547,57.760520935058594,4.003980261753358,48.0,35.0,29.0
354,949.8587646484375,166.9900665283203,0.6986773610115051,9,25.373512268066406,89.84025573730469,4.7662319344477195,220.0,221.0,216.0
355,949.8376770019531,180.1728515625,0.6951895356178284,9,25.20294952392578,87.92735290527344,4.596555521312617,215.0,216.0,211.0
355,907.9739990234375,640.0869903564453,0.6448212265968323,10,25.549530029296875,58.979400634765625,4.099563636545809,46.0,34.0,28.0
355,908.9059143066406,625.7161254882812,0.4647815525531769,10,24.502058029174805,29.415943145751953,4.103039775946522,153.0,139.0,130.0
356,948.9419860839844,193.1602783203125,0.6734633445739746,9,25.030900955200195,88.80548858642578,4.756119839381516,215.0,219.0,214.0
356,907.6043701171875,653.4000549316406,0.5123935341835022,10,25.487571716308594,58.74699020385742,3.9328105443754713,49.0,36.0,30.5
356,909.2444458007812,632.14404296875,0.44580474495887756,10,23.9140625,15.617748260498047,2.1227485157327393,76.0,58.0,46.0
357,948.2616271972656,207.3949737548828,0.7294413447380066,9,25.236103057861328,88.14315795898438,5.000608595156238,221.0,223.0,217.0
357,906.7071228027344,666.9898986816406,0.7229428291320801,10,25.776050567626953,59.272804260253906,3.918659246188851,50.0,37.0,31.0
358,947.4849853515625,221.10560607910156,0.8311131596565247,9,25.334142684936523,88.55217742919922,4.925222516626338,221.5,221.0,216.0
358,906.1676330566406,680.2102203369141,0.7176063656806946,10,25.401287078857422,58.923095703125,5.224675085312622,49.0,36.5,31.0
